Delay : 2, Total Response Took: 2.088, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.14 
Delay : 2, Total Response Took: 2.068, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.1, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.1 
Delay : 2, Total Response Took: 2.147, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.11 
Delay : 2, Total Response Took: 2.128, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.145, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.193, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.12 
Delay : 2, Total Response Took: 2.161, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.138, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.128, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.201, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.14 
Delay : 2, Total Response Took: 2.162, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.199, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.13 
Delay : 2, Total Response Took: 2.193, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.13 
Delay : 2, Total Response Took: 2.024, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.036, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.061, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.155, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.08 
Delay : 2, Total Response Took: 2.083, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.137, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.09 
Delay : 2, Total Response Took: 2.121, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.138, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.07 
Delay : 2, Total Response Took: 2.114, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
Delay : 2, Total Response Took: 2.123, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.06 
