Delay : 0, Total Response Took: 0.052, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.02 
Delay : 0, Total Response Took: 0.034, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.035, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.01 
Delay : 0, Total Response Took: 0.044, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.021, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.01 
Delay : 0, Total Response Took: 0.022, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.02, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.019, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.015, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.011, Status: COMPLETED, Payload: 300 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.01 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.01 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.011, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.01 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK, Payload: 276 bytes, CPU time: 0.0 
