Delay : 0, Total Response Took: 0.045, Status: COMPLETED 
Delay : 0, Total Response Took: 0.01, Status: COMPLETED 
Delay : 0, Total Response Took: 0.009, Status: COMPLETED 
Delay : 0, Total Response Took: 0.009, Status: COMPLETED 
Delay : 0, Total Response Took: 0.009, Status: COMPLETED 
Delay : 0, Total Response Took: 0.009, Status: COMPLETED 
Delay : 0, Total Response Took: 0.009, Status: COMPLETED 
Delay : 0, Total Response Took: 0.009, Status: COMPLETED 
Delay : 0, Total Response Took: 0.009, Status: COMPLETED 
Delay : 0, Total Response Took: 0.008, Status: COMPLETED 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.008, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.008, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.008, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.008, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.008, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.01, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.008, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.008, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.009, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.008, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
Delay : 0, Total Response Took: 0.007, Status: FAILED_OUT_OF_STOCK 
